Java HotSpot(TM) 64-Bit Server VM (25.91-b14) for bsd-amd64 JRE (1.8.0_91-b14), built on Apr  1 2016 01:03:00 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(572212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
1.578: [GC (Allocation Failure) 1.578: [DefNew: 448K->63K(448K), 0.0022914 secs] 38224K->38212K(1048512K), 0.0024188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.589: [GC (Allocation Failure) 1.589: [DefNew: 447K->63K(448K), 0.0059920 secs] 38596K->38585K(1048512K), 0.0061714 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.606: [GC (Allocation Failure) 1.606: [DefNew: 447K->63K(448K), 0.0030963 secs] 38969K->38958K(1048512K), 0.0031698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.618: [GC (Allocation Failure) 1.618: [DefNew: 447K->63K(448K), 0.0016490 secs] 39342K->39332K(1048512K), 0.0017046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.629: [GC (Allocation Failure) 1.629: [DefNew: 447K->63K(448K), 0.0025138 secs] 39716K->39706K(1048512K), 0.0025814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.641: [GC (Allocation Failure) 1.641: [DefNew: 447K->64K(448K), 0.0021241 secs] 40090K->40079K(1048512K), 0.0021938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.653: [GC (Allocation Failure) 1.653: [DefNew: 448K->63K(448K), 0.0024093 secs] 40463K->40453K(1048512K), 0.0024697 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.664: [GC (Allocation Failure) 1.664: [DefNew: 447K->63K(448K), 0.0022175 secs] 40837K->40826K(1048512K), 0.0022966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.675: [GC (Allocation Failure) 1.675: [DefNew: 447K->64K(448K), 0.0017129 secs] 41210K->41200K(1048512K), 0.0017667 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.687: [GC (Allocation Failure) 1.687: [DefNew: 448K->63K(448K), 0.0021720 secs] 41584K->41572K(1048512K), 0.0022391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
